"Publication";"Publication date";"Publication week";"Publication language";"Priority";"Priority date";"First filing date";"International publication";"International application";"International application date";"IPC1-7 further and additional";"IPC 1-7 main";"IPC full level (additional information)";"IPC full level (invention information)";"Inventor (city)";"Inventor (country)";"Applicant / Proprietor (city)";"Applicant / Proprietor (country)";"Representative (city)";"Representative (country)";"Title (en)";"Abstract (en)"
"EP 0217516 A2 19870408";"19870408";"198715";"en";"CH 3538/85 19850816
CH 2474/86 19860612";"19850816
19860612";"19850816";"";"";"";" 4C 08J   9/16   B";" 4C 08J   9/224  A";"";"";"I-56018 Tirrenia (Pisa)
CH-8820 Wadenswil
Kypseli Athens";"IT
CH
GR";"Midland Michigan 48640-1967
GR-65024 154 10 Psychico Athens";"US
GR";"London WC2A 3SZ";"GB";"Expandable polyvinyl (idene) aromatic particles, process for preparing them and molded articles produced therefrom";"Heat expandable particles of a polyvinyl(idene) aromatic compound contain a blowing agent and at least 0.6 percent of a plasticizer, based on the total weight of the polyvinyl (idene) aromatic compound and the plasticizer.
The particles are at least partially coated with one or more glycerides of a fatty acid and or with an oil.
The particles can be expanded and molded to foamed articles The foamed articles are especially useful as shock absorbing packaging material."
"EP 0217516 B1 19910904";"19910904";"199136";"en";"CH 3538/85 19850816
CH 2474/86 19860612";"19850816
19860612";"19850816";"";"";"";" 5C 08J   9/16   B";" 5C 08J   9/224  A";"";"";"I-56018 Tirrenia (Pisa)
CH-8820 Wadenswil
Kypseli Athens";"IT
CH
GR";"Midland Michigan 48640-1967
GR-65024 154 10 Psychico Athens";"US
GR";"London WC2A 3SZ";"GB";"Expandable polyvinyl (idene) aromatic particles, process for preparing them and molded articles produced therefrom";""
"EP 0217516 B2 19960207";"19960207";"199606";"en";"CH 3538/85 19850816
CH 2474/86 19860612";"19850816
19860612";"19850816";"";"";"";" 6C 08J   9/16   B";" 6C 08J   9/224  A";"";"";"I-56018 Tirrenia (Pisa)
CH-8820 Wadenswil
Kypseli Athens";"IT
CH
GR";"Midland Michigan 48640-1967
GR-65024 154 10 Psychico Athens";"US
GR";"London WC2A 3SZ";"GB";"Expandable polyvinyl (idene) aromatic particles, process for preparing them and molded articles produced therefrom";""
"EP 0220497 A1 19870506";"19870506";"198719";"de";"GR 852365 19850927";"19850927";"19850927";"";"";"";"";" 4A 61C  13/265  A";"";"";"Kavala";"GR";"Kavala";"GR";"D-60322 Frankfurt am Main";"DE";"Sliding attachment for partial dental prosthesis";""
"EP 0220497 B1 19900822";"19900822";"199034";"de";"GR 852365 19850927";"19850927";"19850927";"";"";"";"";" 5A 61C  13/265  A";"";"";"Kavala";"GR";"Kavala";"GR";"60322 Frankfurt am Main";"DE";"Sliding attachment for partial dental prosthesis";""
"EP 0224426 A1 19870603";"19870603";"198723";"en";"GR 852773 19851115";"19851115";"19851115";"";"";"";"";" 4B 63C   9/135  A";"";"";"GR-10432 Athens";"GR";"GR-10432 Athens";"GR";"";"";"Personal life saving apparatus from dilated P. V. C. of a closed cell";"-THE TITLE OF THE INVENTION IS ""PERSONAL LIFE SAVING APPARATUS FROM DI­LATED P.V.C. OF A CLOSED CELL"".
-IT CONCERNS A LIFE SAVING APPARATUR WHICH IS PLACED ON THE NECK OF THE USER AND WHICH IS CONSTRUCTED FROM CHLORIC POLYVINYLE (P.V.C.)
-IT CONSISTS OF TWO COMPACT BULKS OF A SEMI-CIRCULAR CROSS-SECTION BEING CONNECTED WITH EACT OTHER,AT THE REAR PART,WITH A ROPE THUS CREATING A JO­INT AND,IN THE FRONT AN AGRAFF (BPOOCH)OR A KNOT.IN THE INNER SPACE OF THE CHEEKS OF THE SEMI-CIRCULAR BULKS THERE ARE GRUED PICES OF A SOFT, FOAMY ELASTIC MATERIAL.  <img file=""imgaf001.tif"" he=""50"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""84""/>"
"EP 0224426 B1 19900620";"19900620";"199025";"en";"GR 852773 19851115";"19851115";"19851115";"";"";"";"";" 5B 63C   9/135  A";"";"";"GR-10432 Athens";"GR";"GR-10432 Athens";"GR";"";"";"Personal life saving apparatus from dilated P. V. C. of a closed cell";""
"EP 0225940 A1 19870624";"19870624";"198726";"en";"";"";"19851220";"";"";"";" 4D 21B   1/06   B
 4A 61L  15/00   B";" 4D 21C   9/00   A";"";"";"Athene 11251";"GR";"Athene 11251";"GR";"80336 München";"DE";"Process for the production of disposable hygienic goods and fluff pulp for using in this process";"A process for the production of disposable hygienic goods made of fluff pulp is described wherein untreated fluff pulp is defibred in a hammer mill and sucked through a screen. The defibration is carried out in presence of a lubricant by which the power consumption of the hammer mill can be decreased. Fluff pulp containing a lubricant can be used in the above process.  "
"EP 0231828 A1 19870812";"19870812";"198733";"de";"DE 3602038 19860124";"19860124";"19860124";"";"";"";"";" 4F 01N   3/02   A";"";"";"GR-54623 Thessaloniki";"GR";"GR-54623 Thessaloniki";"GR";"80801 München";"DE";"Process and device for regenerating a diesel soot filter";""
"EP 0231828 B1 19900530";"19900530";"199022";"de";"DE 3602038 19860124";"19860124";"19860124";"";"";"";"";" 5F 01N   3/02   A";"";"";"GR-54623 Thessaloniki";"GR";"GR-54623 Thessaloniki";"GR";"80801 München";"DE";"Process and device for regenerating a diesel soot filter";""
"EP 0232206 A2 19870812";"19870812";"198733";"fr";"FR 8601562 19860205";"19860205";"19860205";"";"";"";"";" 4E 06C   7/48   A";"";"";"11 46 Galatsi Athenes";"GR";"185 40 Le Piree";"GR";"";"";"Security device for supporting ladders and scaffoldings against poles, trees, columns, or building façades";""
"EP 0235070 A2 19870902";"19870902";"198736";"en";"GR 860473 19860219";"19860219";"19860219";"";"";"";"";" 4F 02M  27/04   A";"";"";"GR-136 71 Acharnes Attikis";"GR";"GR-136 71 Acharnes Attikis";"GR";"";"";"Method for the disintegration of liquids and stable compounds, device for effecting the same and application of the method in the improvement of combustion in internal or external combustion engines";"The present invention relates to a method and device for the disintegration of liquids and stable compounds. The proposed method comprises feeding the liquids and/or stable compounds at a minimum pressure of 3.9 p.s.i. into a steady, existing magnetic field, which has a preferred active length of 13.3 or 13.5 or 14.2 or 14.4 or any other suitable and in accordance with the laws of numeration value of length, where the abovementioned magnetic field is preferably materialized with a device, comprising a housing, where a series of magnets shaped in the form of the said housing are arranged in series within the same, where the magnets are interfaced by means of thin, annular diaphragms or spacers, which by way of example are balls of a suitable diameter, where the entire structure is in full accordance to the laws of numeration and the manufacturing requirements of each particular embodiment of the device.
Mention is made to a preferred, illustrative embodiment of the invention in the field of internal or external combustion engines, whereby the combustion is substantially improved after the liquids fed to the combustion chamber have passed through the device forthe disintegration of liquids and stable compounds of the invention and the quantity of the supplied combustion liquids is reduced by way of addition of a suitable rubber washer, with dimensions in accordance to the laws of numeration, around the so called ""dish"" of the acceleration membrane, by way of example in the internal combustion engine of a motor-car, this resulting in the reduction of the vibrations of the ""dish"" and therefore of the quantity of liquids which are fed into the combustion chamber.<img file=""imgaf001.tif"" he=""60"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""91""/>"
"EP 0235070 A3 19891025";"19891025";"198943";"en";"GR 860473 19860219";"19860219";"19860219";"";"";"";"";" 4F 02M  27/04   A";"";"";"GR-136 71 Acharnes Attikis";"GR";"GR-136 71 Acharnes Attikis";"GR";"";"";"Method for the disintegration of liquids and stable compounds, device for effecting the same and application of the method in the improvement of combustion in internal or external combustion engines";"The present invention relates to a method and device for the disintegration of liquids and stable compounds. The proposed method comprises feeding the liquids and/or stable compounds at a minimum pressure of 3.9 p.s.i. into a steady, existing magnetic field, which has a preferred active length of 13.3 or 13.5 or 14.2 or 14.4 or any other suitable and in accordance with the laws of numeration value of length, where the abovementioned magnetic field is preferably materialized with a device, comprising a housing, where a series of magnets shaped in the form of the said housing are arranged in series within the same, where the magnets are interfaced by means of thin, annular diaphragms or spacers, which by way of example are balls of a suitable diameter, where the entire structure is in full accordance to the laws of numeration and the manufacturing requirements of each particular embodiment of the device.
Mention is made to a preferred, illustrative embodiment of the invention in the field of internal or external combustion engines, whereby the combustion is substantially improved after the liquids fed to the combustion chamber have passed through the device forthe disintegration of liquids and stable compounds of the invention and the quantity of the supplied combustion liquids is reduced by way of addition of a suitable rubber washer, with dimensions in accordance to the laws of numeration, around the so called ""dish"" of the acceleration membrane, by way of example in the internal combustion engine of a motor-car, this resulting in the reduction of the vibrations of the ""dish"" and therefore of the quantity of liquids which are fed into the combustion chamber.<img file=""imgaf001.tif"" he=""60"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""91""/>"
"EP 0237460 A2 19870916";"19870916";"198738";"en";"GR 862375 19860917";"19860917";"19860917";"";"";"";" 4B 05C   1/02   B";" 4B 31B   1/00   A";"";"";"GR-176 74 Athens";"GR";"GR-176 74 Athens";"GR";"";"";"Device and method of accurate feeding, coating, plasticizing and cutting of sheets";"Independent complete device for the process of paper, carton, metal and plastic sheets for varnishing, painting or plasticizing, device characterized by its possibilities to make many works by original ways, bearing special feeding head with the least accessories which can be regulated and removed so that to make feeding on small-big sized sheets into the lot as well as one sheets with openings (windows) without blocking, bearing at the same time three different systems for coating and plasticizing sheets making four different works, bearing system of automatic feeding with continuous and direct recycling of the coating materials, and even bearing single accurate cutter of two cutting methods for the separation of the plasticized sheets.<img file=""imgaf001.tif"" he=""77"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""80""/>"
"EP 0237460 A3 19891129";"19891129";"198948";"en";"GR 862375 19860917";"19860917";"19860917";"";"";"";" 4B 05C   1/02   B";" 4B 31B   1/00   A";"";"";"GR-176 74 Athens";"GR";"GR-176 74 Athens";"GR";"";"";"Device and method of accurate feeding, coating, plasticizing and cutting of sheets";"Independent complete device for the process of paper, carton, metal and plastic sheets for varnishing, painting or plasticizing, device characterized by its possibilities to make many works by original ways, bearing special feeding head with the least accessories which can be regulated and removed so that to make feeding on small-big sized sheets into the lot as well as one sheets with openings (windows) without blocking, bearing at the same time three different systems for coating and plasticizing sheets making four different works, bearing system of automatic feeding with continuous and direct recycling of the coating materials, and even bearing single accurate cutter of two cutting methods for the separation of the plasticized sheets.<img file=""imgaf001.tif"" he=""77"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""80""/>"
"EP 0237460 B1 19951025";"19951025";"199543";"en";"GR 862375 19860917";"19860917";"19860917";"";"";"";" 6B 05C   1/02   B";" 6B 31B   1/00   A";"";"";"GR-176 74 Athens";"GR";"GR-176 74 Athens";"GR";"";"";"Device and method of accurate feeding, coating, plasticizing and cutting of sheets";""
"EP 0252867 A1 19880113";"19880113";"198802";"en";"GB 8613791 19860606
GB 8701518 19870123
GB 8710016 19870428";"19860606
19870123
19870428";"19860606";"";"";"";" 4C 08L  97/02   B
 4C 08G  12/02   B
 4C 08G  12/40   B
 4C 08G   8/28   B
 4C 09J 161/32   B";" 4C 08G  16/02   A";"";"";"GR-55131 Thessaloniki";"GR";"Curacao";"AN";"106 74 Athens";"GR";"Process for bonding water penetrable cellulosic particles";"A substitute for amino and phenolic resins is disclosed. It is used in the polycondensation of such resins based on formaldehyde for bonding water penetrable cellulosic particles. The substitute comprises an aqueous solution of a) either at least one aldehyde together with at least one amide and/or together with at least one phenol, or a non-resinous condensation product of formaldehyde and urea, andb) a sugar or a sugar derivative or their by-products or a starch or its degradation products or a mixture thereof, and/ orc) a raw and/or treated lignosulfonate.
This substitute also reduces the free formaldehyde of the resulting board without impairing the other properties thereof."
"EP 0252867 B1 19940420";"19940420";"199416";"en";"GB 8613791 19860606
GB 8701518 19870123
GB 8710016 19870428";"19860606
19870123
19870428";"19860606";"";"";"";" 5C 08L  97/02   B
 5C 08G  12/02   B
 5C 08G  12/40   B
 5C 08G   8/28   B
 5C 09J 161/32   B";" 5C 08G  16/02   A";"";"";"GR-55131 Thessaloniki";"GR";"Curacao";"AN";"106 74 Athens";"GR";"Process for bonding water penetrable cellulosic particles";""
"EP 0253411 A2 19880120";"19880120";"198803";"de";"DE 3624125 19860717";"19860717";"19860717";"";"";"";" 4E 04H   6/04   B";" 4E 04H   6/02   A";"";"";"GR-11473 Athens";"GR";"GR-11473 Athens";"GR";"";"";"Free-standing motorcar garage, particularly garage for one private car";""
"EP 0255795 A2 19880210";"19880210";"198806";"en";"GR 861216 19860512";"19860512";"19860512";"";"";"";"";" 4B 28D   1/02   A";"";"";"15561 Athens";"GR";"15561 Athens";"GR";"";"";"Method for cutting stone or stone-like blocks into large and thin slabs, and their reinforcement";"This invention aims to the production of new products from decorative rocks, that will be free from two serious disadvantages of the natural products, the great specific weight and the low flexural strength, also much improving the economical result of the production, because the rendering of the marble blocks-granite blocks is over the double.
The new products will be large slabs or also thin (5- 7 mm) tiles (module marble and module granite), that will be covered and reinforced on one face with substances giving them increased strengths, a decreased water absorption and a safe anchorage to the building elements.
More particularly, this invention solves mainly the problems of cutting of the decorative rocks (marbles* and granites**) into very thin slabs (5- 7 mm). The method of this invention has nothing common which that used to the produc- tionof thin tiles, measuring 15 x 30 x 0.7 cm .as it refers to the possibility of production of large and thin slabs (e.g. 155 x 320 x 0.5 cm).
* marbles are crystalline or granular compact rocks, consisting of minerals with ahardness of 3-4 of the Mosh scale (calaite, dolomite, serpentine), that can be cut, grid and polished, used as decorative and building materials.
* * granites are phanerocrystalline compact rocks, consisting of minerals with hardness 6-7 of the Mosh scale (quartz, feldspar, feld- spathodis) that can be cut, grid and polished, used as decorative and building materials.
Furthermore, this invention solves the problem of the reinforcement of slabs with resin glass-fibers or also resin glass-clothes, which, as they are hydrophobe materials, the slabs should be completely free from dampness.
The additional increase of the inflexibility of the slabs was achieved by the use of enlarging materials (e.g. polyurethane). The self-anchorage of the slabs is realized by depositing of gravel to the still fresh surface of the resin glass-cloth.
The reinforced slabs produced within the frame of this invention are much more lighter (16-20 kg/m2), in comparison with the natural slabs 2 cm thick (55 kg/m2) and they can be much longer without being broken.
Finally it should be noted that each square meter of reinforced slabs is charged totally with the sum of US $ 6.00 (prices of 1986), which sum is covered by the over than the double rendering (from 1 m3 of marble-block or granite-block the theoretical production is 40 m2 of slabs, 2 cm thick or more than 83.3 m2 of reinforced slabs 0.5 ÷ 0.7 cm thick).<img file=""imgaf001.tif"" he=""25"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""91""/>"
"EP 0255795 A3 19890517";"19890517";"198920";"en";"GR 861216 19860512";"19860512";"19860512";"";"";"";"";" 4B 28D   1/02   A";"";"";"15561 Athens";"GR";"15561 Athens";"GR";"";"";"Method for cutting stone or stone-like blocks into large and thin slabs, and their reinforcement";"This invention aims to the production of new products from decorative rocks, that will be free from two serious disadvantages of the natural products, the great specific weight and the low flexural strength, also much improving the economical result of the production, because the rendering of the marble blocks-granite blocks is over the double.
The new products will be large slabs or also thin (5- 7 mm) tiles (module marble and module granite), that will be covered and reinforced on one face with substances giving them increased strengths, a decreased water absorption and a safe anchorage to the building elements.
More particularly, this invention solves mainly the problems of cutting of the decorative rocks (marbles* and granites**) into very thin slabs (5- 7 mm). The method of this invention has nothing common which that used to the produc- tionof thin tiles, measuring 15 x 30 x 0.7 cm .as it refers to the possibility of production of large and thin slabs (e.g. 155 x 320 x 0.5 cm).
* marbles are crystalline or granular compact rocks, consisting of minerals with ahardness of 3-4 of the Mosh scale (calaite, dolomite, serpentine), that can be cut, grid and polished, used as decorative and building materials.
* * granites are phanerocrystalline compact rocks, consisting of minerals with hardness 6-7 of the Mosh scale (quartz, feldspar, feld- spathodis) that can be cut, grid and polished, used as decorative and building materials.
Furthermore, this invention solves the problem of the reinforcement of slabs with resin glass-fibers or also resin glass-clothes, which, as they are hydrophobe materials, the slabs should be completely free from dampness.
The additional increase of the inflexibility of the slabs was achieved by the use of enlarging materials (e.g. polyurethane). The self-anchorage of the slabs is realized by depositing of gravel to the still fresh surface of the resin glass-cloth.
The reinforced slabs produced within the frame of this invention are much more lighter (16-20 kg/m2), in comparison with the natural slabs 2 cm thick (55 kg/m2) and they can be much longer without being broken.
Finally it should be noted that each square meter of reinforced slabs is charged totally with the sum of US $ 6.00 (prices of 1986), which sum is covered by the over than the double rendering (from 1 m3 of marble-block or granite-block the theoretical production is 40 m2 of slabs, 2 cm thick or more than 83.3 m2 of reinforced slabs 0.5 ÷ 0.7 cm thick).<img file=""imgaf001.tif"" he=""25"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""91""/>"
"EP 0258166 A1 19880302";"19880302";"198809";"en";"GR 860887 19860403";"19860403";"19860403";"";"";"";" 4F 24B   1/20   B";" 4A 47J  37/07   A";"";"";"GR-188 63 Keratsini Piraeus";"GR";"GR-188 63 Keratsini Piraeus";"GR";"";"";"Portable small-size oven";"An outdoor small-size cooking and barbecue oven (1) comprising a cooking space closed by a hinged door (11, 13) and a fuel pan which can be adjusted at several heights.<img file=""imgaf001.tif"" he=""91"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""81""/>"
"EP 0262596 A2 19880406";"19880406";"198814";"de";"GR 862488 19861002";"19861002";"19861002";"";"";"";"";" 4B 01D  27/06   A";"";"";"GR-551-33 Thessaloniki";"GR";"GR-551-33 Thessaloniki";"GR";"D-67061 Ludwigshafen";"DE";"Oil filter";""
"EP 0262596 A3 19900307";"19900307";"199010";"de";"GR 862488 19861002";"19861002";"19861002";"";"";"";"";" 4B 01D  27/06   A";"";"";"GR-551-33 Thessaloniki";"GR";"GR-551-33 Thessaloniki";"GR";"D-67061 Ludwigshafen";"DE";"Oil filter";""
"EP 0263025 A2 19880406";"19880406";"198814";"fr";"GR 862472 19860930";"19860930";"19860930";"";"";"";" 4C 07K   3/02   B
 4C 07K   3/12   B
 4G 01N  33/571  B";" 4A 61K  39/245  A";"";"";"Athenes 16232";"GR";"GR-115 21 Athenes";"GR";"75008 Paris";"FR";"Fractions containing antigens specific for herpes virus type 1 (HSV-1) and type 2 (HSV-2), method for isolating these fractions and diagnostic method specific for HSV-1 and/or HSV-2 using these fractions";""
"EP 0263025 A3 19890531";"19890531";"198922";"fr";"GR 862472 19860930";"19860930";"19860930";"";"";"";" 4C 07K   3/02   B
 4C 07K   3/12   B
 4G 01N  33/571  B";" 4A 61K  39/245  A";"";"";"Athenes 16232";"GR";"GR-115 21 Athenes";"GR";"75008 Paris";"FR";"Fractions containing antigens specific for herpes virus type 1 (HSV-1) and type 2 (HSV-2), method for isolating these fractions and diagnostic method specific for HSV-1 and/or HSV-2 using these fractions";""
"EP 0263025 B1 19930630";"19930630";"199326";"fr";"GR 862472 19860930";"19860930";"19860930";"";"";"";" 5C 07K   3/02   B
 5C 07K   3/12   B
 5G 01N  33/571  B";" 5A 61K  39/245  A";"";"";"Athenes 16232";"GR";"GR-115 21 Athenes";"GR";"75008 Paris";"FR";"Fractions containing antigens specific for herpes virus type 1 (HSV-1) and type 2 (HSV-2), method for isolating these fractions and diagnostic method specific for HSV-1 and/or HSV-2 using these fractions";""
"EP 0276622 A2 19880803";"19880803";"198831";"en";"GR 862801 19861125";"19861125";"19861125";"";"";"";" 4H 04M   3/42   B
 4H 04Q   3/00   B";" 4H 04M   3/58   A";"";"";"Ag. Paraskeyi";"GR";"Ag. Paraskeyi";"GR";"";"";"Broker's call arrangement";"The broker's call arrangement offers the possibility to a conventional subscriber engaged in a call, to be connected to a second calling subscriber by activating his hook-switch. The arrangement comprises an electronic circuit placed in the final selector circuit at the exchange.  "
"EP 0282430 A2 19880914";"19880914";"198837";"en";"GR 870191 19870205
GR 870979 19870623";"19870205
19870623";"19870205";"";"";"";" 4F 16H   5/46   B
 4F 16H  37/02   B
 4F 16H  33/04   B";" 4F 16H  37/08   A";"";"";"GR-10443 Athens";"GR";"GR-10443 Athens";"GR";"";"";"Self-adjusted power transmission with infinitely variable speed ratio employing toothed epicyclic gears";"The invention consists of two epicyclic systems using a number of controlling mechanisms in a way to result in a self-adjusting C.V.T. system, having also the ability of brake energy storage and recirculation.<img file=""imgaf001.tif"" he=""77"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""79""/>"
"EP 0282430 A3 19900314";"19900314";"199011";"en";"GR 870191 19870205
GR 870979 19870623";"19870205
19870623";"19870205";"";"";"";" 4F 16H   5/46   B
 4F 16H  37/02   B
 4F 16H  33/04   B";" 4F 16H  37/08   A";"";"";"GR-10443 Athens";"GR";"GR-10443 Athens";"GR";"";"";"Self-adjusted power transmission with infinitely variable speed ratio employing toothed epicyclic gears";"The invention consists of two epicyclic systems using a number of controlling mechanisms in a way to result in a self-adjusting C.V.T. system, having also the ability of brake energy storage and recirculation.<img file=""imgaf001.tif"" he=""77"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""79""/>"
"EP 0287494 A2 19881019";"19881019";"198842";"en";"GR 870596 19870414
GR 870865 19870603
GR 870866 19870603";"19870414
19870603
19870603";"19870414";"";"";"";"";" 4B 21F   1/02   A";"";"";"105 64 Athens";"GR";"105 64 Athens";"GR";"";"";"Wire processing machine";"Wire processing machine consisting of: a) a feeder mechanism, providing simultaneously: 1.pulling or feeding of wire.2.straightening of wire3.torsion to any direction or counter torsion of the wire.b) a wire bending system, of adjustable curvature radi­us, two direction bending with moving cutting system mounted on the bending system.<img file=""imgaf001.tif"" he=""85"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""72""/>"
"EP 0287494 A3 19900801";"19900801";"199031";"en";"GR 870596 19870414
GR 870865 19870603
GR 870866 19870603";"19870414
19870603
19870603";"19870414";"";"";"";"";" 4B 21F   1/02   A";"";"";"105 64 Athens";"GR";"105 64 Athens";"GR";"";"";"Wire processing machine";"Wire processing machine consisting of: a) a feeder mechanism, providing simultaneously: 1.pulling or feeding of wire.2.straightening of wire3.torsion to any direction or counter torsion of the wire.b) a wire bending system, of adjustable curvature radi­us, two direction bending with moving cutting system mounted on the bending system.<img file=""imgaf001.tif"" he=""85"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""72""/>"
"EP 0291058 A1 19881117";"19881117";"198846";"de";"DE 8706941  U 19870514";"19870514";"19870514";"";"";"";" 4E 04B   2/74   B";" 4F 16B  12/20   A";"";"";"GR-14565 Athen";"GR";"GR-10680 Athen";"GR";"D-22767 Hamburg";"DE";"System for assembling furniture, boxes, partitions or the like";""
"EP 0291058 B1 19910306";"19910306";"199110";"de";"DE 8706941  U 19870514";"19870514";"19870514";"";"";"";" 5E 04B   2/74   B";" 5F 16B  12/20   A";"";"";"GR-14565 Athen";"GR";"GR-10680 Athen";"GR";"22767 Hamburg";"DE";"System for assembling furniture, boxes, partitions or the like";""
"EP 0291446 A1 19881117";"19881117";"198846";"de";"GR 870739 19870512
GR 871179 19870722";"19870512
19870722";"19870512";"";"";"";" 4C 01D   3/06   B";" 4C 02F   1/52   A";"";"";"Sounio Avenue 19013  Agia Marina
Sounio Avenue 19013 Agia Marina
Sounio Avenue 19013 Agia Marina";"GR
GR
GR";"D-40027 Düsseldorf
GR-19013 Agia Marina
GR-19013 Agia Marina
GR-19013 Agia Marina";"DE
GR
GR
GR";"D-14171 Berlin";"DE";"Process for separating impurities from solutions";""
"EP 0291619 A2 19881123";"19881123";"198847";"en";"GR 870787 19870520";"19870520";"19870520";"";"";"";" 4F 24D  11/02   B";" 4F 24F   5/00   A";"";"";"G-18534 Piraeus";"GR";"61100 Kilkis";"GR";"";"";"Cooling, heating and air-conditioning system for buildings employing the existing central heating installation and radiators";"The cooling-unit (1) is installed in parallel to the existing central heating boiler (2). Valves (4) are installed to cut off the circulation in the cooling or heating conduit, whichever is not in use. At the lower exit pipe of the radiators (7) is an installed air-recycling device (6,10), which operates under the pressure generated by the liquid cooling-agent circulating in the conduit, or alternatively by means of an electric fan.  <img file=""imgaf001.tif"" he=""119"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""94""/>"
"EP 0291619 A3 19890614";"19890614";"198924";"en";"GR 870787 19870520";"19870520";"19870520";"";"";"";" 4F 24D  11/02   B";" 4F 24F   5/00   A";"";"";"G-18534 Piraeus";"GR";"61100 Kilkis";"GR";"";"";"Cooling, heating and air-conditioning system for buildings employing the existing central heating installation and radiators";"The cooling-unit (1) is installed in parallel to the existing central heating boiler (2). Valves (4) are installed to cut off the circulation in the cooling or heating conduit, whichever is not in use. At the lower exit pipe of the radiators (7) is an installed air-recycling device (6,10), which operates under the pressure generated by the liquid cooling-agent circulating in the conduit, or alternatively by means of an electric fan.  <img file=""imgaf001.tif"" he=""119"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""94""/>"
"EP 0291619 B1 19951129";"19951129";"199548";"en";"GR 870787 19870520";"19870520";"19870520";"";"";"";" 6F 24D  11/02   B";" 6F 24F   5/00   A";"";"";"G-18534 Piraeus";"GR";"61100 Kilkis";"GR";"";"";"Cooling, heating and air-conditioning system for buildings employing the existing central heating installation and radiators";""
"EP 0292628 A2 19881130";"19881130";"198848";"en";"GR 870818 19870525";"19870525";"19870525";"";"";"";" 4C 04B  14/28   B";" 4C 08L  97/02   A";"";"";"GR-10679 Athens";"GR";"GR-10679 Athens";"GR";"";"";"Synthetic wood composition from fruit kernels or shells and/or marble chips";"A synthetic wood-like or marble-like composition consisting of fruit kernels or shells or marble chips, a binding material and, optionally, suitable additives to be used for various purposes. The process for the production of these compositions consists of cleaning, grinding, mixing and molding of the reacting materials.  "
"EP 0292628 A3 19890125";"19890125";"198904";"en";"GR 870818 19870525";"19870525";"19870525";"";"";"";" 4C 04B  14/28   B";" 4C 08L  97/02   A";"";"";"GR-10679 Athens";"GR";"GR-10679 Athens";"GR";"";"";"Synthetic wood composition from fruit kernels or shells and/or marble chips";"A synthetic wood-like or marble-like composition consisting of fruit kernels or shells or marble chips, a binding material and, optionally, suitable additives to be used for various purposes. The process for the production of these compositions consists of cleaning, grinding, mixing and molding of the reacting materials.  "
"EP 0297020 A2 19881228";"19881228";"198852";"en";"";"";"19880608";"";"";"";"";" 4A 61M  25/00   A";"";"";"Kalamaki Athens";"GR";"Tampa Florida 33618";"US";"106 72 Athens";"GR";"Hydrodynamically propelled pacing catheter";"A hydrodynamically propelled pacing catheter (20) primarily intended for use in the placement of permanent pacemaker leads into the heart of a patient. The cephalic end (24) of the catheter is constructed to define a plurality of nozzle orifices for the expulsion of a pressurized fluid so that the catheter will be propelled through the patient's vascular system into the heart. Dependent upon whether placement of the pacemaker lead is intended for the right atrium or the right ventricle, the catheter cephalic end will be curved or straight, respectively.  <img file=""imgaf001.tif"" he=""93"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""78""/>"
"EP 0297020 A3 19890208";"19890208";"198906";"en";"";"";"19880608";"";"";"";"";" 4A 61M  25/00   A";"";"";"Kalamaki Athens";"GR";"Tampa Florida 33618";"US";"106 72 Athens";"GR";"Hydrodynamically propelled pacing catheter";"A hydrodynamically propelled pacing catheter (20) primarily intended for use in the placement of permanent pacemaker leads into the heart of a patient. The cephalic end (24) of the catheter is constructed to define a plurality of nozzle orifices for the expulsion of a pressurized fluid so that the catheter will be propelled through the patient's vascular system into the heart. Dependent upon whether placement of the pacemaker lead is intended for the right atrium or the right ventricle, the catheter cephalic end will be curved or straight, respectively.  <img file=""imgaf001.tif"" he=""93"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""78""/>"
