"Publication";"Publication date";"Publication week";"Publication language";"Priority";"Priority date";"First filing date";"International publication";"International application";"International application date";"IPC1-7 further and additional";"IPC 1-7 main";"IPC full level (additional information)";"IPC full level (invention information)";"Inventor (city)";"Inventor (country)";"Applicant / Proprietor (city)";"Applicant / Proprietor (country)";"Representative (city)";"Representative (country)";"Title (en)";"Abstract (en)"
"EP 1721165 A2 20061115";"20061115";"200646";"en";"US 548111 P 20040227";"20040227";"20040227";"WO2005085860 20050915 [2005-37]";"EP2005002578 20050228 (en)";"20050228";"";"";"";"G01N 33/574 (2006.01)
C12Q 1/68 (2006.01)";"F-92200 NEUILLY/ SEINE
F-75013 FRANCE
GR-15772 ATHENS
F-75014 PARIS";"FR
FR
GR
FR";"75248 Paris Cedex 05
75794 Paris Cedex 16
75005 Paris";"FR
FR
FR";"75116 Paris";"FR";"NEW PROLIFERATION MARKERS IN CLINICAL PRACTICE AND THEIR USE FOR CANCER PROGNOSIS OR DIAGNOSIS";""
"EP 1721165 B1 20100303";"20100303";"201009";"en";"US 548111 P 20040227";"20040227";"20040227";"WO2005085860 20050915 [2005-37]";"EP2005002578 20050228 (en)";"20050228";"";"";"";"G01N 33/574 (2006.01)
C12Q 1/68 (2006.01)";"F-92200 NEUILLY/ SEINE
F-75013 FRANCE
GR-15772 ATHENS
F-75014 PARIS";"FR
FR
GR
FR";"75248 Paris Cedex 05
75794 Paris Cedex 16
75005 Paris";"FR
FR
FR";"75116 Paris";"FR";"NEW PROLIFERATION MARKERS IN CLINICAL PRACTICE AND THEIR USE FOR CANCER PROGNOSIS OR DIAGNOSIS";""
"EP 1723318 A1 20061122";"20061122";"200647";"en";"US 783137 20040219
US 783110 20040219
US 644010 P 20050118";"20040219
20040219
20050118";"20040219";"WO2005080759 20050901 [2005-35]";"CA2005000209 20050218 (en)";"20050218";"";"";"";"F01L 7/16 (2006.01)
F01L 7/06 (2006.01)
F01L 31/18 (2006.01)
F02B 57/02 (2006.01)
F02B 57/04 (2006.01)";"GR-165 61 Ano Glyfada
Yuba City, CA 95991";"GR
US";"Carignan, QC J3L 4A7";"CA";"80538 München";"DE";"DISC VALVE SYSTEM FOR AN INTERNAL COMBUSTION ENGINE";""
"EP 1727460 A2 20061206";"20061206";"200649";"en";"US 552249 P 20040311
US 570690 P 20040513";"20040311
20040513";"20040311";"WO2005089637 20050929 [2005-39]";"US2005007652 20050310 (en)";"20050310";"";"";"";"A61B 5/00 (2006.01)";"Charlestown, Massachusetts 02129
GR-70200 Heraklion, Crete
GR-71305 Heraklion, Crete";"US
GR
GR";"Boston, MA 02114";"US";"London, WC1X 8PL";"GB";"METHOD AND SYSTEM FOR TOMOGRAPHIC IMAGING USING FLUORESCENT PROTEINS";""
"EP 1729976 A1 20061213";"20061213";"200650";"en";"US 796634 20040308";"20040308";"20040308";"WO2005087509 20050922 [2005-38]";"US2005007619 20050307 (en)";"20050307";"";"";"";"B42F 13/20 (2006.01)";"New York, NY 10012";"US";"New York, NY 10012";"US";"115 28 Athens";"GR";"IMPROVED LOOSE-LEAF BINDER";""
"EP 1731424 A1 20061213";"20061213";"200650";"en";"";"";"20050609";"";"";"";"";"";"";"B64G 1/36 (2006.01)
B64G 1/64 (2006.01)
B64G 1/10 (2006.01)";"163-43 Ilioupolis";"GR";"1087 Nicosia";"CY";"60322 Frankfurt am Main";"DE";"Engine module for attachment to a target spacecraft, in-space servicing system and method for operating an engine module";"An engine module (4) for attachment to a selected target spacecraft (2) should be designed such that the overall need for processing resources and power may be further reduced. According to the invention, the engine module (4) comprises a number of sensors (22) adjusted to pick up measured values of a number of physical parameters of the target spacecraft (2), said sensors being connected with a converter unit (26) which is set up to convert a time profile of the measured values into a set of processable data. <img file=""imgaf001.tif"" he=""62"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""165""/>"
"EP 1732763 A1 20061220";"20061220";"200651";"en";"BE 200400161 20040326";"20040326";"20040326";"WO2005092617 20051006 [2005-40]";"BE2005000042 20050329 (nl)";"20050329";"";"";"";"B41F 17/00 (2006.01)";"9880 Aalter";"BE";"9880 Aalter";"BE";"542 49 Thessaloniki";"GR";"APPARATUS FOR PAD PRINTING OF PRODUCTS HAVING SIGNIFICANT VARIATIONS AND PROCESS THEREFOR";""
"EP 1735075 A1 20061227";"20061227";"200652";"en";"EP 04101536 20040415";"20040415";"20040415";"WO2005099863 20051027 [2005-43]";"EP2005051379 20050324 (en)";"20050324";"";"";"";"B01D 39/20 (2006.01)";"GR-34100 Chalkida
GR-34100 Vathi Avlidos
GR-34100 Chalkida
B-8553 Otegem
B-9840 De Pinte
B-8510 Bellegem";"GR
GR
GR
BE
BE
BE";"8550 Zwevegem";"BE";"8550 Zwevegem";"BE";"SINTERED METAL FIBER MEDIUM";""
"EP 1735075 B1 20100317";"20100317";"201011";"en";"EP 04101536 20040415";"20040415";"20040415";"WO2005099863 20051027 [2005-43]";"EP2005051379 20050324 (en)";"20050324";"";"";"";"B01D 39/20 (2006.01)";"GR-34100 Chalkida
GR-34100 Vathi Avlidos
GR-34100 Chalkida
B-8553 Otegem
B-9840 De Pinte
B-8510 Bellegem";"GR
GR
GR
BE
BE
BE";"8550 Zwevegem";"BE";"8550 Zwevegem";"BE";"SINTERED METAL FIBER MEDIUM";""
"EP 1736925 A1 20061227";"20061227";"200652";"en";"GR 2005100293 20050613";"20050613";"20050613";"";"";"";"";"";"";"G06Q 50/00 (2006.01)
G07F 7/10 (2006.01)";"14561 Kifddias Attikis";"GR";"Lefkosia";"CY";"";"";"Electronic health book";"The present device refers to the creation of a health book in the form of an electronic card of a dimension that is similar to that of the common credit card that provides information relating to the medical history and the medical insurance of the holder. The capacity for the reading and recording of particulars shall be provided through specific software, by the insurer and the connected doctors / hospitals, either locally (on the same computer), or through the Internet, thus abolishing the need for the production of the book by the insured or the compensation receipt clipping from the doctor to the offices of the insurer. The book shall contain particulars in relation to the identity of the holder, personal medical information (blood group, allergies, etc), insurance particulars (coverage, authentications, etc) and the complete medical history with the capacity for the storage of text, images and electronic particulars relating to medical devices. It provides the capacity to a specific category of users {Doctors at regional Hospitals - Rural Surgeries, etc.} to transmit medical information in relation to the patient, through the Internet to central Hospitals or University centres that remote medically support them. In this manner difficult emergency situations shall be successfully confronted. In situations where the holder is not in possession of his faculties, the insertion of the detection system on the EHB makes its detection by the ambulance or Hospitals easy and quick. Furthermore the insertion of this system makes the detection of the EHB easy when its holder loses it or misplaces it. This is especially necessary for people with disabilities e.g. the blind."
"EP 1736926 A1 20061227";"20061227";"200652";"en";"GR 2005100293 20050613";"20050613";"20050613";"";"";"";"";"";"";"G06Q 50/00 (2006.01)
G07F 7/10 (2006.01)";"Athens
Athens";"GR
GR";"Lefkosia";"CY";"";"";"Electronic health book";"The book includes the holder's identity data, personal medical information (blood group, allergies, etc) insurance data (coverage, verifications, etc) and the full medical history (examinations - prescriptions - referential - laboratory results - medical leave - disabilities - operations and results, appropriately classified) with capability of storing text, images and electronic data from medical equipment. It gives the capability for a specific category of users (e.g. Regional Hospital Doctors) to transfer the patient's medical information, through the Internet to central Hospitals, or University centers supporting them through Remote Medicine. In this manner emergency and difficult incidents are handled in remote areas with success. The storage means of the electronic health book may take the form of a USB flash memory stick, a re-writable CD or DVD, or any electronic means of small dimensions, possessing large memory capacity. <img file=""imgaf001.tif"" he=""108"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""165""/>"
"EP 1739915 A1 20070103";"20070103";"200701";"en";"";"";"20050630";"";"";"";"";"";"";"H04L 29/06 (2006.01)";"11254 Athen";"GR";"80333 München";"DE";"";"";"Network arrangement and method for handling sessions in a telecommunications network";"The present invention relates to a novel network arrangement and method for handling sessions or calls in a communications network. More particularly, the invention provides a novel network arrangement and method for avoiding ""ghost calls"" in IP based communications networks for achieving higher session completion rates. An inventive network arrangement comprises at least the following: a session border controller for monitoring and/or controlling available resources for sessions involving a user terminal and for determining a busy condition if a new session's resource requirements are in excess of the available resources; and an application server for intercepting a busy notification generated towards the new session's origination in response to a busy condition, the application server further configured to either generate a notification towards the new session's destination or redirect the new session to a different destination. Signaling may be accomplished by means of the session Initiation Protocol SIP. <img file=""imgaf001.tif"" he=""100"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""165""/>"
"EP 1739916 A1 20070103";"20070103";"200701";"en";"";"";"20050630";"";"";"";"";"";"";"H04L 29/06 (2006.01)
H04L 12/56 (2006.01)
H04L 29/08 (2006.01)";"11254 Athen";"GR";"80333 München";"DE";"";"";"Network arrangement and method for handling sessions in a telecommunications network";"The present invention relates to a novel network arrangement and method for handling sessions or calls in a communications network. More particularly, the invention provides a novel network arrangement and method for avoiding ""ghost calls"" in IP based communications networks for achieving higher session completion rates. An inventive network arrangement comprises at least the following: a session border controller (140) for monitoring and/or controlling available resources for sessions involving a user terminal and for determining a busy condition if a new session's resource requirements are in excess of the available resources and for notifying an origination of the new session upon if a busy condition exists; and an application server (152) receiving a session completion request from the new session's origination and for establishing the session after the busy condition has ceased. The invention is useful if the busy condition is encountered at a destination and also if the busy condition is encountered at the new session's origination, i.e. if a calling user's available resources are insufficient to accommodate the newly requested session. <img file=""imgaf001.tif"" he=""100"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""165""/>"
"EP 1753565 A1 20070221";"20070221";"200708";"en";"EP 04101531 20040415";"20040415";"20040415";"WO2005099940 20051027 [2005-43]";"EP2005051378 20050324 (en)";"20050324";"";"";"";"B22F 3/00 (2006.01)
B22F 3/11 (2006.01)
B22F 3/22 (2006.01)
B22F 7/00 (2006.01)
B01D 39/20 (2006.01)";"GR-34100 Chalkida
GR-34100 Vathi Avlidos
GR-34100 Chalkida
B-8553 Otegem
B-9840 De Pinte
B-8510 Bellegem";"GR
GR
GR
BE
BE
BE";"8550 Zwevegem";"BE";"B-8550 Zwevegem";"BE";"METHOD OF MANUFACTURING OF A SINTERED METAL FIBER MEDIUM";""
"EP 1753565 B1 20100127";"20100127";"201004";"en";"EP 04101531 20040415";"20040415";"20040415";"WO2005099940 20051027 [2005-43]";"EP2005051378 20050324 (en)";"20050324";"";"";"";"B22F 3/00 (2006.01)
B22F 3/11 (2006.01)
B22F 3/22 (2006.01)
B22F 7/00 (2006.01)
B01D 39/20 (2006.01)";"GR-34100 Chalkida
GR-34100 Vathi Avlidos
GR-34100 Chalkida
B-8553 Otegem
B-9840 De Pinte
B-8510 Bellegem";"GR
GR
GR
BE
BE
BE";"8550 Zwevegem";"BE";"8550 Zwevegem";"BE";"METHOD OF MANUFACTURING OF A SINTERED METAL FIBER MEDIUM";""
"EP 1758277 A2 20070228";"20070228";"200709";"en";"US 170247 P 19991210
US 650792 20000830";"19991210
20000830";"19991210";"";"";"";"";"";"";"H04B 7/26 (2006.01)
H04Q 7/28 (2006.01)";"Monmouth New Jersey 07751
Luneburg MA 01462
15124 Athens";"US
US
GR";"Murray Hill, New Jersey 07974-0636";"US";"Enfield, EN3 7XB";"GB";"Burst based access and assignment method  for providing real-time services";"A method and system for reducing delay in wireless communications by use of a burst based access and assignment system. The method for setting up a communication channel uses short burst(s) (essentially a slot of a time frame). Time is saved by keeping the uplink and downlink channels flexible and independent of each other. Thus less time is used trying to fit all requests and responses into constrained choices as in previous protocols. The result is less delay to the mobile user and greater usage density for the wireless service provider. <img file=""imgaf001.tif"" he=""80"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""110""/>"
"EP 1758277 A3 20070418";"20070418";"200716";"en";"US 170247 P 19991210
US 650792 20000830";"19991210
20000830";"19991210";"";"";"";"";"";"";"H04B 7/26 (2006.01)
H04Q 7/28 (2006.01)";"Monmouth New Jersey 07751
Luneburg MA 01462
15124 Athens";"US
US
GR";"Murray Hill, New Jersey 07974-0636";"US";"Enfield, EN3 7XB";"GB";"Burst based access and assignment method  for providing real-time services";"A method and system for reducing delay in wireless communications by use of a burst based access and assignment system. The method for setting up a communication channel uses short burst(s) (essentially a slot of a time frame). Time is saved by keeping the uplink and downlink channels flexible and independent of each other. Thus less time is used trying to fit all requests and responses into constrained choices as in previous protocols. The result is less delay to the mobile user and greater usage density for the wireless service provider. <img file=""imgaf001.tif"" he=""68"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""94""/>"
"EP 1758277 B1 20100127";"20100127";"201004";"en";"US 170247 P 19991210
US 650792 20000830";"19991210
20000830";"19991210";"";"";"";"";"";"";"H04B 7/26 (2006.01)";"Monmouth New Jersey 07751
Luneburg MA 01462
15124 Athens";"US
US
GR";"Murray Hill NJ 07974-0636";"US";"Enfield EN3 7XU";"GB";"Burst based access and assignment method  for providing real-time services";""
"EP 1759998 A1 20070307";"20070307";"200710";"en";"";"";"20050830";"";"";"";"";"";"";"B65B 55/10 (2006.01)
B65C 1/02 (2006.01)
B65C 9/40 (2006.01)
B65B 9/20 (2006.01)";"41100 Modena
Athens 152 36";"IT
GR";"1009 Pully";"CH";"10121 Torino";"IT";"Packaging method and machine for producing sealed packages of pourable food products";"There is described a method of producing sealed packages (10, 10', 10'', 10''', 10'''') of pourable food products, the method including the steps of feeding a web (2) of packaging material, having a succession of preprinted graphics, along a predetermined path (P1, P2, P3); forming from the web (2) a number of sealed packages (10, 10', 10'', 10''', 10'''') filled with the pourable food product; and completing the external configuration of the packages (10, 10', 10'', 10''', 10'''') by applying labels (31) to the relative packaging material; the labels (31) being applied to the web (2) of packaging material prior to the step of forming the packages (10, 10', 10'', 10''', 10''''). (Figure 1) <img file=""imgaf001.tif"" he=""111"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""90""/>"
"EP 1760634 A2 20070307";"20070307";"200710";"en";"GB 0226787 20021118";"20021118";"20021118";"";"";"";"";"";"";"G06K 9/00 (2006.01)
G06T 7/00 (2006.01)";"Malvern WR14 3PS
Malvern WR14 3PS
Malvern WR14 3PS
Guildford Surrey GU2 7XH
11524 Athens
Trumpinton Street Cambridge CB2 1PZ";"GB
GB
GB
GB
GR
GB";"London, SW1E 6PD";"GB";"Farnborough, Hants GU14 0LX";"GB";"Measurement of mitotic activity";"A method of measurement of mitotic activity from histopathological specimen images initially identifies image pixels with luminances corresponding to mitotic figures and selects from them a reference pixel to provide a reference colour. Pixels similar to the reference colour are located; image regions are grown on located pixels by adding pixels satisfying thresholds of differences to background and image region luminances. Grown regions are thresholded in area, compactness, width/height ratio, luminance ratio to background and difference between areas grown with perturbed thresholds. Grown regions are counted as indicating mitotic figures by thresholding region number, area and luminance. An alternative method of measuring mitotic activity measures a profile of an image region and counts the image region as corresponding to a mitotic figure if its profile is above a threshold at an intensity associated with mitotic figures. A mitotic figure is also indicated if the profile does not meet the previous criterion but has three other values satisfying respective threshold criteria. <img file=""imgaf001.tif"" he=""89"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""68""/>"
"EP 1760634 A3 20070801";"20070801";"200731";"en";"GB 0226787 20021118";"20021118";"20021118";"";"";"";"";"";"";"G06T 7/00 (2006.01)
G06K 9/00 (2006.01)";"Malvern WR14 3PS
Malvern WR14 3PS
Malvern WR14 3PS
Guildford Surrey GU2 7XH
11524 Athens
Trumpinton Street Cambridge CB2 1PZ";"GB
GB
GB
GB
GR
GB";"London, SW1E 6PD";"GB";"Worcestershire WR14 3PS";"GB";"Measurement of mitotic activity";"A method of measurement of mitotic activity from histopathological specimen images initially identifies image pixels with luminances corresponding to mitotic figures and selects from them a reference pixel to provide a reference colour. Pixels similar to the reference colour are located; image regions are grown on located pixels by adding pixels satisfying thresholds of differences to background and image region luminances. Grown regions are thresholded in area, compactness, width/height ratio, luminance ratio to background and difference between areas grown with perturbed thresholds. Grown regions are counted as indicating mitotic figures by thresholding region number, area and luminance. An alternative method of measuring mitotic activity measures a profile of an image region and counts the image region as corresponding to a mitotic figure if its profile is above a threshold at an intensity associated with mitotic figures. A mitotic figure is also indicated if the profile does not meet the previous criterion but has three other values satisfying respective threshold criteria. <img file=""imgaf001.tif"" he=""73"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""55""/>"
